season,winner
2015,Chennai Super Kings
2015,Royal Challengers Bangalore
2015,Rajasthan Royals
2015,Kings XI Punjab
2015,Sunrisers Hyderabad
2015,Rajasthan Royals
2015,Kolkata Knight Riders
2015,Delhi Daredevils
2015,Rajasthan Royals
2015,Chennai Super Kings
2015,Delhi Daredevils
2015,Kolkata Knight Riders
2015,Rajasthan Royals
2015,Mumbai Indians
2015,Kolkata Knight Riders
2015,Sunrisers Hyderabad
2015,Chennai Super Kings
2015,Delhi Daredevils
2015,Royal Challengers Bangalore
2015,Mumbai Indians
2015,Chennai Super Kings
2015,Royal Challengers Bangalore
2015,Sunrisers Hyderabad
2015,Kolkata Knight Riders
2015,Chennai Super Kings
2015,Delhi Daredevils
2015,Mumbai Indians
2015,Royal Challengers Bangalore
2015,Sunrisers Hyderabad
2015,Mumbai Indians
2015,Rajasthan Royals
2015,Chennai Super Kings
2015,Kolkata Knight Riders
2015,Mumbai Indians
2015,Royal Challengers Bangalore
2015,Sunrisers Hyderabad
2015,Mumbai Indians
2015,Kolkata Knight Riders
2015,Sunrisers Hyderabad
2015,Royal Challengers Bangalore
2015,Chennai Super Kings
2015,Sunrisers Hyderabad
2015,Delhi Daredevils
2015,Kings XI Punjab
2015,Mumbai Indians
2015,Royal Challengers Bangalore
2015,Chennai Super Kings
2015,Rajasthan Royals
2015,Mumbai Indians
2015,Mumbai Indians
2015,Royal Challengers Bangalore
2015,Chennai Super Kings
2015,Mumbai Indians
2016,Rising Pune Supergiants
2016,Kolkata Knight Riders
2016,Gujarat Lions
2016,Royal Challengers Bangalore
2016,Mumbai Indians
2016,Gujarat Lions
2016,Delhi Daredevils
2016,Kolkata Knight Riders
2016,Gujarat Lions
2016,Kings XI Punjab
2016,Delhi Daredevils
2016,Sunrisers Hyderabad
2016,Kolkata Knight Riders
2016,Mumbai Indians
2016,Sunrisers Hyderabad
2016,Royal Challengers Bangalore
2016,Delhi Daredevils
2016,Sunrisers Hyderabad
2016,Gujarat Lions
2016,Kolkata Knight Riders
2016,Mumbai Indians
2016,Rising Pune Supergiants
2016,Gujarat Lions
2016,Mumbai Indians
2016,Gujarat Lions
2016,Delhi Daredevils
2016,Sunrisers Hyderabad
2016,Kings XI Punjab
2016,Mumbai Indians
2016,Kolkata Knight Riders
2016,Delhi Daredevils
2016,Kolkata Knight Riders
2016,Rising Pune Supergiants
2016,Sunrisers Hyderabad
2016,Royal Challengers Bangalore
2016,Kings XI Punjab
2016,Sunrisers Hyderabad
2016,Gujarat Lions
2016,Royal Challengers Bangalore
2016,Sunrisers Hyderabad
2016,Mumbai Indians
2016,Delhi Daredevils
2016,Kings XI Punjab
2016,Royal Challengers Bangalore
2016,Kolkata Knight Riders
2016,Sunrisers Hyderabad
2016,Mumbai Indians
2016,Royal Challengers Bangalore
2016,Rising Pune Supergiants
2016,Royal Challengers Bangalore
2016,Gujarat Lions
2016,Delhi Daredevils
2016,Rising Pune Supergiants
2016,Gujarat Lions
2016,Kolkata Knight Riders
2016,Royal Challengers Bangalore
2016,Royal Challengers Bangalore
2016,Sunrisers Hyderabad
2016,Sunrisers Hyderabad
2016,Sunrisers Hyderabad
